year,exp,type,zone,todr_avg,todr_avg_loess
2067,ssp126,Narrowbody,Temperate,2936.185,2935.9915433761
2067,ssp126,Widebody,Temperate,3379.62,3380.66033823635
2067,ssp245,Narrowbody,Temperate,2937.31,2938.53350145491
2067,ssp245,Widebody,Temperate,3381.085,3382.50278350361
2067,ssp370,Narrowbody,Temperate,2944.32,2942.21248798379
2067,ssp370,Widebody,Temperate,3385.725,3385.46839486359
2067,ssp585,Narrowbody,Temperate,2944.975,2943.00164116431
2067,ssp585,Widebody,Temperate,3387.605,3385.90376933828
2068,ssp126,Narrowbody,Temperate,2937.195,2935.96929035813
2068,ssp126,Widebody,Temperate,3382.325,3380.62717529221
2068,ssp245,Narrowbody,Temperate,2937.725,2938.6545727834
2068,ssp245,Widebody,Temperate,3382.44,3382.57924174072
2068,ssp370,Narrowbody,Temperate,2944.52,2942.44918228847
2068,ssp370,Widebody,Temperate,3387.385,3385.64215497548
2068,ssp585,Narrowbody,Temperate,2945.145,2943.24486977926
2068,ssp585,Widebody,Temperate,3387.505,3386.08019848569
