zone,exp,year,avg_tas,max_tas,avg_rho,min_rho,avg_hdw
Temperate,ssp585,2055,1.19271558322919,2.75200000000001,-0.00421036885861015,-0.00415299999999996,-0.0671901453974542
Temperate,ssp585,2056,1.55068248617886,3.31,-0.00663311316662241,-0.006714,-0.112106325590191
Temperate,ssp585,2057,1.41768509191206,2.05400000000003,-0.00550288344704142,0.00223799999999996,-0.0987188742017189
Temperate,ssp585,2058,1.44756447798494,2.77300000000002,-0.00511490046626273,-0.00429599999999997,-0.019464167044001
Temperate,ssp585,2059,1.29310680413312,1.31800000000004,-0.00667846276394446,0.00232900000000003,-0.0149849962233786
Temperate,ssp585,2060,1.15497501282863,4.56300000000005,-0.00745618470870979,-0.00200299999999998,-0.0366083554067149
Temperate,ssp585,2061,1.3526386642842,4.03400000000005,-0.00666547010838747,-0.000315000000000065,0.0145528916665008
Temperate,ssp585,2062,1.15363738800431,4.11700000000002,-0.00524148050328854,-0.00573599999999996,0.058385463252419
Temperate,ssp585,2063,1.69504710912008,3.51800000000003,-0.00616466024623352,-0.000649000000000011,-0.11874092762254
Temperate,ssp585,2064,1.63294144869724,3.12,-0.006774948922597,-0.00570100000000007,-0.0611296493319289
Temperate,ssp585,2065,1.40416122344362,2.88400000000001,-0.00717176347650406,0.00292099999999995,-0.0831030983301737
Temperate,ssp585,2066,1.28123237957226,2.96800000000002,-0.00536433790013202,0.002668,-0.0418959327203723
Temperate,ssp585,2067,1.65819322874364,4.02200000000005,-0.00686474588081198,-0.00697300000000001,-0.115049017567483
Temperate,ssp585,2068,1.67138557329008,2.97900000000004,-0.00691196912523751,-0.00345700000000004,-0.102864008143598
Temperate,ssp585,2069,1.71943248085887,5.18300000000005,-0.00742463990439779,-0.004081,0.00481626657669487
Temperate,ssp585,2070,1.5515379108956,3.52200000000005,-0.00853310787028527,0.00272300000000003,-0.136849683721437
Temperate,ssp585,2071,1.78905054884046,2.52600000000001,-0.00855835436941987,-0.000657000000000019,0.078756641718253
Temperate,ssp585,2072,1.92696097807368,2.75200000000001,-0.0081232798394153,-0.00540499999999999,-0.0579326781754483
Temperate,ssp585,2073,1.91436865548724,3.47300000000001,-0.00934781037078092,0.00119899999999995,-0.0671877588069538
Temperate,ssp585,2074,2.16303046025917,7.202,-0.00807301925503112,-0.00480800000000003,-0.00343893461252165
Temperate,ssp585,2075,2.34691615358236,4.60200000000003,-0.00930735040914943,0.000248000000000026,-0.0901387752708276
Temperate,ssp585,2076,2.17062758589026,2.56800000000004,-0.00887228413812524,5.5999999999945e-05,0.0174322066095698
Temperate,ssp585,2077,2.14815687849409,3.96700000000004,-0.00937297303393647,-0.000201000000000007,0.0704023512949616
Temperate,ssp585,2078,2.51478337358873,3.28200000000004,-0.00950366027375193,-7.00000000000145e-05,-0.0563409189017952
Temperate,ssp585,2079,2.57580307028798,3.13800000000003,-0.00945422972855559,0.00105699999999997,-0.160262096885324
Temperate,ssp585,2080,2.48385091858501,3.37900000000002,-0.0114904398434776,-0.00525200000000003,-0.066891216013949
Temperate,ssp585,2081,2.53101124015132,3.07800000000003,-0.00990010889042003,-0.00568500000000005,-0.137720152265175
Temperate,ssp585,2082,2.53427315304458,3.77800000000002,-0.0103110619810194,0.00239199999999995,-0.078993815981903
Temperate,ssp585,2083,2.61386072210894,6.21900000000005,-0.0108651667038697,-0.00253900000000007,-0.0641432147342833
Temperate,ssp585,2084,2.52075148513865,4.77200000000005,-0.0103108375825789,-0.00130600000000003,-0.0974423157402109
Temperate,ssp585,2085,2.54309110624939,4.267,-0.0103429633761329,-0.00208200000000003,-0.0710166208158567
Temperate,ssp585,2086,2.72484606614165,4.27700000000004,-0.00884764723923559,0.00264799999999998,-0.116215614294586
Temperate,ssp585,2087,2.97429038228029,4.65700000000004,-0.0119426275893459,-0.002467,-0.0885480044077083
Temperate,ssp585,2088,2.94849035999897,6.74400000000003,-0.0120068229349575,-0.00261600000000006,-0.0819508381536735
Temperate,ssp585,2089,3.26233164715251,5.12600000000003,-0.014059552370348,-0.000986000000000042,-0.139098260331258
Temperate,ssp585,2090,3.02110133332604,3.71000000000004,-0.0126737067965808,-0.000253000000000059,-0.102287749498851
Temperate,ssp585,2091,3.15263624591972,5.94600000000003,-0.0140697787429911,0.000273999999999996,-0.0803036388690011
Temperate,ssp585,2092,3.3535462967497,7.94900000000001,-0.0114843408428824,-0.000139,-0.147546118113405
Temperate,ssp585,2093,3.45544031026327,4.49900000000002,-0.0133999796378876,0.000881999999999938,-0.20455058142682
Temperate,ssp585,2094,3.5958366289845,4.62300000000005,-0.0155868024565804,-0.00244200000000006,-0.210942677268828
Temperate,ssp585,2095,3.53075901459334,5.661,-0.0146274598258584,0.000333999999999945,-0.193831620779612
Temperate,ssp585,2096,3.62725094281842,6.59300000000002,-0.0143174124466445,-0.00126100000000007,-0.175039646784358
