itr_avg,year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
48.3837177830189,2079,ssp126,Subtropical,Widebody,14975732,16615,137230,42761,196606,112914,
24.6668308962264,2079,ssp245,Subtropical,Narrowbody,7634878,94580,99170,56081,249831,59689,
48.4354891037736,2079,ssp245,Subtropical,Widebody,14991755,15983,137952,42699,196634,112886,
24.8891650943396,2079,ssp370,Subtropical,Narrowbody,7703694,93518,99611,56528,249657,59863,
49.0391771226415,2079,ssp370,Subtropical,Widebody,15178608,15524,137564,42203,195291,114229,
24.90747,2079,ssp585,Subtropical,Narrowbody,7709360,93477,99916,56339,249732,59788,
49.0801604245283,2079,ssp585,Subtropical,Widebody,15191289,15016,138418,41846,195280,114240,
24.3785314150943,2080,ssp126,Subtropical,Narrowbody,7566316,95521,99448,56398,251367,59001,
47.8657380660377,2080,ssp126,Subtropical,Widebody,14855993,16345,138798,43367,198510,111858,
24.756189764151,2080,ssp245,Subtropical,Narrowbody,7683529,93968,100102,56376,250446,59922,
48.8310840566038,2080,ssp245,Subtropical,Widebody,15155610,15599,138382,42071,196052,114316,
24.6831329716981,2080,ssp370,Subtropical,Narrowbody,7660854,94492,99651,56674,250817,59551,
48.533993254717,2080,ssp370,Subtropical,Widebody,15063394,15723,138400,42679,196802,113566,
24.9348837264151,2080,ssp585,Subtropical,Narrowbody,7738990,93512,100096,56691,250299,60069,
49.1008441509434,2080,ssp585,Subtropical,Widebody,15239325,15003,138572,42041,195616,114752,
24.5979195283019,2081,ssp126,Subtropical,Narrowbody,7613549,95161,98589,56211,249961,59559,
48.1540201415094,2081,ssp126,Subtropical,Widebody,14904633,15928,138231,43225,197384,112136,
24.664245754717,2081,ssp245,Subtropical,Narrowbody,7634078,94158,99656,55916,249730,59790,
48.5752344339623,2081,ssp245,Subtropical,Widebody,15035006,15619,138253,42391,196263,113257,
24.7831241037736,2081,ssp370,Subtropical,Narrowbody,7670873,93824,99801,56096,249721,59799,
48.7549110849057,2081,ssp370,Subtropical,Widebody,15090621,15103,138305,42521,195929,113591,
24.957538254717,2081,ssp585,Subtropical,Narrowbody,7724857,93024,100293,56258,249575,59945,
49.1910469811321,2081,ssp585,Subtropical,Widebody,15225615,14443,138778,42123,195344,114176,
24.5517624056604,2082,ssp126,Subtropical,Narrowbody,7599262,95084,98762,56084,249930,59590,
48.200764009434,2082,ssp126,Subtropical,Widebody,14919104,16640,137451,43062,197153,112367,
24.642516745283,2082,ssp245,Subtropical,Narrowbody,7627352,94494,99097,56503,250094,59426,
48.5300250471698,2082,ssp245,Subtropical,Widebody,15021013,15856,137603,42804,196263,113257,
24.8395149528302,2082,ssp370,Subtropical,Narrowbody,7688326,94142,99091,56178,249411,60109,
48.7979980660377,2082,ssp370,Subtropical,Widebody,15103957,15575,137717,42535,195827,113693,
24.9279163679245,2082,ssp585,Subtropical,Narrowbody,7715689,93082,100420,56113,249615,59905,
49.0817560849057,2082,ssp585,Subtropical,Widebody,15191790,13899,139356,42191,195446,114074,
24.690409245283,2083,ssp126,Subtropical,Narrowbody,7642176,94799,98920,55703,249422,60098,
48.300390990566,2083,ssp126,Subtropical,Widebody,14949939,16403,137703,42497,196603,112917,
