year,exp,type,todr_avg,todr_avg_loess
2076,ssp245,Narrowbody,2940.28,2936.66606790028
2076,ssp245,Widebody,3346.395,3344.74464348227
2076,ssp370,Narrowbody,2940.965,2940.82584557068
2076,ssp370,Widebody,3347.88,3348.03997194534
2076,ssp585,Narrowbody,2940.045,2942.34094999901
2076,ssp585,Widebody,3347.725,3349.0148943482
2077,ssp126,Narrowbody,2931.375,2933.24196096637
2077,ssp126,Widebody,3341.185,3342.38582406075
2077,ssp245,Narrowbody,2937.715,2936.7487917358
2077,ssp245,Widebody,3345.745,3344.80336454195
2077,ssp370,Narrowbody,2939.47,2941.01541430768
2077,ssp370,Widebody,3348.035,3348.18077250706
2077,ssp585,Narrowbody,2939.64,2942.61599632165
2077,ssp585,Widebody,3346.845,3349.22148426501
2078,ssp126,Narrowbody,2931.625,2933.2352019522
2078,ssp126,Widebody,3341.02,3342.38259786535
2078,ssp245,Narrowbody,2936.64,2936.82764894031
2078,ssp245,Widebody,3345.16,3344.86090769847
2078,ssp370,Narrowbody,2941.505,2941.20673198129
2078,ssp370,Widebody,3348.635,3348.31928073324
2078,ssp585,Narrowbody,2941.72,2942.90690940194
2078,ssp585,Widebody,3349.31,3349.4364142729
2079,ssp126,Narrowbody,2933.71,2933.22798812307
2079,ssp126,Widebody,3342.825,3342.37913737606
