year,exp,zone,type,avg_thr,avg_pax,avg_thr_loess,avg_pax_loess,avg_thr_per,avg_pax_per
2050,ssp585,Global,Narrowbody,0.865467077977355,8.45020948600791,0.865682754405536,8.48586486315285,0.000724639427331456,0.0180815217428042
2051,ssp585,Global,Narrowbody,0.865680494170605,8.49584890911617,0.865701805470903,8.48642808471148,0.000746662357121075,0.0181490935779362
2052,ssp585,Global,Narrowbody,0.865751371869468,8.50417420401292,0.865720885385781,8.48679403852449,0.000768718636790394,0.0181929984504326
2053,ssp585,Global,Narrowbody,0.866271360787279,8.68972417046115,0.865740204115414,8.4871367033318,0.000791050985041943,0.0182341092522309
2054,ssp585,Global,Narrowbody,0.865905479057065,8.58889706034483,0.865759971625048,8.48763005787332,0.000813902120576969,0.0182932988752676
2055,ssp585,Global,Narrowbody,0.865564617606477,8.44818393906376,0.865780397879929,8.48844808088897,0.000837514762098002,0.0183914402114801
2056,ssp585,Global,Narrowbody,0.866267130801025,8.66763968534466,0.865801692845302,8.48976475111864,0.000862131628306416,0.0185494061528047
2057,ssp585,Global,Narrowbody,0.865527398336132,8.42358110884709,0.865824066486412,8.49175404730226,0.000887995437904358,0.0187880695911787
2058,ssp585,Global,Narrowbody,0.865379409240122,8.38180182407523,0.86584716831529,8.49399278256135,0.000914701028672324,0.019056659185299
2059,ssp585,Global,Narrowbody,0.865817556479467,8.42431665264521,0.865870543837174,8.49600214987066,0.000941723007093398,0.0192977306330522
2060,ssp585,Global,Narrowbody,0.866152178692851,8.5256330953522,0.86589424700712,8.49787269774991,0.000969123744923922,0.0195221473851583
2061,ssp585,Global,Narrowbody,0.866080407959788,8.54142577243604,0.865918331780184,8.49969497471884,0.00099696561391947,0.019740772892338
2062,ssp585,Global,Narrowbody,0.865560349088289,8.34052238293718,0.86594285211142,8.50155952929718,0.00102531098583587,0.0199644706053114
2063,ssp585,Global,Narrowbody,0.865941352050879,8.47942954036913,0.865967861955886,8.50355691000466,0.0010542222324296,0.0202041039747992
2064,ssp585,Global,Narrowbody,0.865726260357586,8.42090582668089,0.865993415268635,8.50577766536103,0.00108376172545584,0.0204705364515219
2065,ssp585,Global,Narrowbody,0.866257816870589,8.51874455118741,0.866019566004723,8.508312343886,0.00111399183667107,0.0207746314861997
2066,ssp585,Global,Narrowbody,0.866440697159892,8.70333705143298,0.866046368119206,8.51125149409931,0.00114497493783111,0.0211272525295533
