zone,exp,year,avg_min_rho,loess_avg_min_rho
Frigid,ssp585,2084,-0.00595999999999997,-0.00663630585291928
Frigid,ssp585,2085,-0.0110699999999999,-0.00693888704253608
Frigid,ssp585,2086,0.00753000000000004,-0.00724662362340273
Frigid,ssp585,2087,-0.00309000000000004,-0.0075603746004934
Frigid,ssp585,2088,-0.00161499999999992,-0.00788099897878225
Frigid,ssp585,2089,-0.00583999999999985,-0.00820935576324345
Frigid,ssp585,2090,-0.00858000000000003,-0.00854630395885116
Frigid,ssp585,2091,-0.017755,-0.0088925662344163
Frigid,ssp585,2092,0.00605999999999995,-0.00924795047757459
Frigid,ssp585,2093,-0.00847500000000001,-0.00961194352153742
Frigid,ssp585,2094,-0.0157149999999999,-0.0099840321995162
Frigid,ssp585,2095,-0.00932499999999981,-0.0103637033447223
Frigid,ssp585,2096,-0.00975000000000015,-0.0107504437903672
Frigid,ssp585,2097,-0.00481500000000001,-0.0111437403696621
Frigid,ssp585,2098,-0.0175349999999999,-0.0115430799158186
Frigid,ssp585,2099,-0.0149299999999999,-0.0119479492620481
Frigid,ssp585,2100,-0.0192949999999998,-0.0123578352415618
Subtropical,ssp126,2015,0,-0.00180816088055904
Subtropical,ssp126,2016,-0.0030430471698113,-0.0018971093232756
Subtropical,ssp126,2017,-0.00208421698113215,-0.00198368926483963
Subtropical,ssp126,2018,-0.00231716037735841,-0.00206792340559978
Subtropical,ssp126,2019,-0.00256120754716971,-0.00214983444590471
Subtropical,ssp126,2020,-0.00274438679245281,-0.00222944508610308
Subtropical,ssp126,2021,-0.0019358962264151,-0.00230677802654355
Subtropical,ssp126,2022,-0.00350002830188667,-0.00238185596757477
Subtropical,ssp126,2023,-0.00274530188679245,-0.0024547016095454
Subtropical,ssp126,2024,-0.00337640566037734,-0.00252533765280409
Subtropical,ssp126,2025,-0.00098398113207554,-0.00259378679769952
Subtropical,ssp126,2026,-0.00126979245283021,-0.0026599753111819
Subtropical,ssp126,2027,-0.002420679245283,-0.00272379646109026
Subtropical,ssp126,2028,-0.00380186792452819,-0.00278522344910642
Subtropical,ssp126,2029,-0.00436396226415092,-0.00284422947691222
Subtropical,ssp126,2030,-0.00308243396226415,-0.0029007877461895
Subtropical,ssp126,2031,-0.00260023584905666,-0.00295487145862009
Subtropical,ssp126,2032,-0.00255347169811326,-0.00300645381588581
Subtropical,ssp126,2033,-0.00360155660377348,-0.00305550801966852
Subtropical,ssp126,2034,-0.000954971698113205,-0.00310200727165003
Subtropical,ssp126,2035,-0.00284104716981126,-0.00314592477351219
Subtropical,ssp126,2036,-0.00111904716981126,-0.00318723372693682
Subtropical,ssp126,2037,-0.00224194339622641,-0.00322582887301323
Subtropical,ssp126,2038,-0.00392083018867928,-0.00326170875180819
