year,ssp,zone,avg_tas,avg_hurs,avg_ps,avg_rho,avg_hdw,max_tas,min_rho,avg_tas_loess,avg_hurs_loess,avg_ps_loess,avg_rho_loess,avg_hdw_loess,max_tas_loess,min_rho_loess
2033,ssp126,Global,17.2394824063564,71.9680851305335,970.52898524404,1.15855062315551,2.67429486481272,53.589,0.68181,17.5202408732762,71.1579356570517,970.474173658205,1.15726798201809,2.68238309309751,54.4852492306237,0.677188618071148
2033,ssp245,Global,17.5798819523269,70.7516060158911,970.248364358684,1.15680259818388,2.73305750227015,55.018,0.676488,17.5218001571181,71.0071432530594,970.480322955559,1.15727738787372,2.72541315701804,54.6279776962864,0.677329321194104
2033,ssp370,Global,17.3200635641317,71.7771526674234,970.415620885358,1.15807509421112,2.69458130646992,53.856,0.678341,17.5268952453066,71.3657199429533,970.498304196825,1.15723147214296,2.72019018231533,54.8073238149312,0.677512550230696
2033,ssp585,Global,17.4936503972758,70.2555547105561,970.681583427922,1.15774354483541,2.7578396215664,53.282,0.673273,17.5434646631269,71.2654198152255,970.501930106491,1.15717313673898,2.73684136833935,54.2806353505881,0.676491823583846
2034,ssp126,Global,17.2476889897844,71.4145377979568,970.356775255392,1.15841007718502,2.72013741066969,53.054,0.677885,17.5333500358831,71.1490553748765,970.477176746699,1.15721541914901,2.68109186997432,54.4918088996449,0.677184937372883
2034,ssp245,Global,17.689314415437,71.2092010215664,970.850389330304,1.15692205107832,2.74509836174802,54.708,0.674803,17.5431637384163,70.9773345023512,970.485957929361,1.15719349180918,2.72617145155607,54.662996857222,0.677254179392582
2034,ssp370,Global,17.7312009080591,71.5513265607265,970.916805902383,1.15675982746879,2.70150288479001,54.549,0.673746,17.5539494395119,71.3453697347467,970.5092969173,1.15712788416899,2.72036081444442,54.8626458759393,0.677458738491184
2034,ssp585,Global,17.5441872871737,71.4522298524404,970.484461975028,1.15714050283768,2.76706330874007,54.548,0.6813,17.5745917868181,71.2411669847369,970.508947779488,1.1570467064557,2.73806082959151,54.3135088651556,0.676419311654322
2035,ssp126,Global,17.5076379114643,71.327545629966,970.460729852439,1.15734165153235,2.68006107423382,53.281,0.674171,17.5461245696397,71.1403898014625,970.480022312313,1.15716402695628,2.67987447507214,54.4982295463259,0.67717695229367
2035,ssp245,Global,17.5935471055619,71.540660953462,970.427167990919,1.15685659137344,2.70680494544835,55.021,0.678705,17.5644791893549,70.9482964698544,970.491682778404,1.157109852943,2.72691956943378,54.6964593242059,0.677179046085412
2035,ssp370,Global,17.60023723042,71.8176987514189,970.432116912599,1.15676739614075,2.71168040749149,55.928,0.677947,17.5816099302794,71.3249230234411,970.519873548285,1.15702117661613,2.72048582745674,54.9172044825204,0.677396402483072
2035,ssp585,Global,17.7036594778661,71.2305013620885,970.58236889898,1.15656276844495,2.68781225664018,53.882,0.679615,17.6065716728444,71.2163720204094,970.515694206921,1.15691636085741,2.73920399094325,54.3494539658749,0.676347774923256
2036,ssp126,Global,17.5341668558457,71.141431214529,970.911564131669,1.15772218274688,2.64823473098751,55.8970000000001,0.679923,17.5585375267732,71.1320241776694,970.48267489272,1.15711388132665,2.67873263053172,54.5043979020212,0.677165387825666
2036,ssp245,Global,17.5419443813848,70.7755233825198,969.994376844495,1.15659717253121,2.73739887309875,54.598,0.681171,17.5857684824838,70.920003711302,970.497470126364,1.15702633319162,2.72765080080323,54.7284590689024,0.677104138515833
2036,ssp370,Global,17.7211010215664,70.5478625425653,970.672590238365,1.15664149375709,2.74950828910329,54.403,0.676331,17.6098242481383,71.3043207381538,970.529978404388,1.15691152305951,2.72056970341072,54.970839473781,0.677326133213219
2036,ssp585,Global,17.4225822928491,71.611705107832,970.477703745744,1.15762653802497,2.76787557673099,53.393,0.67822,17.6394261160746,71.1910156190737,970.522132406386,1.15678194602516,2.74027616045687,54.3882891408033,0.676277113666168
